inventory_id,warehouse_id,product_id,inventory_date,quantity_on_hand,reserved_quantity,reorder_level
INV00000001,WH001,PROD00148,2025-11-12,2272,476,177
INV00000002,WH001,PROD00113,2025-10-29,3254,316,39
INV00000003,WH001,PROD00293,2026-03-12,2726,174,72
INV00000004,WH001,PROD00124,2025-05-29,4595,40,37
INV00000005,WH001,PROD00050,2025-03-05,2565,220,165
INV00000006,WH001,PROD00306,2026-03-01,745,474,142
INV00000007,WH001,PROD00349,2026-07-22,9,172,25
INV00000008,WH001,PROD00096,2025-06-17,4263,428,33
INV00000009,WH001,PROD00136,2025-06-02,624,117,89
INV00000010,WH001,PROD00127,2025-05-30,4709,118,126
INV00000011,WH001,PROD00168,2025-03-25,827,281,16
INV00000012,WH001,PROD00023,2026-03-01,1014,117,178
INV00000013,WH001,PROD00141,2025-10-08,1021,248,43
INV00000014,WH001,PROD00100,2025-04-11,3182,34,129
INV00000015,WH001,PROD00111,2025-04-22,2835,52,130
INV00000016,WH001,PROD00439,2025-04-12,1890,226,53
INV00000017,WH001,PROD00390,2025-09-16,2416,389,10
INV00000018,WH001,PROD00346,2025-02-09,2198,114,85
INV00000019,WH001,PROD00315,2025-01-29,624,73,110
INV00000020,WH001,PROD00140,2025-09-13,1621,405,64
INV00000021,WH001,PROD00269,2025-01-13,79,36,76
INV00000022,WH001,PROD00476,2026-02-26,3963,313,173
INV00000023,WH001,PROD00052,2026-07-02,1614,314,87
INV00000024,WH001,PROD00468,2025-12-04,325,202,43
INV00000025,WH001,PROD00254,2025-01-10,2948,92,18
INV00000026,WH001,PROD00004,2026-06-30,3696,178,10
INV00000027,WH001,PROD00073,2025-02-05,3439,99,60
INV00000028,WH001,PROD00325,2025-02-17,1062,177,40
INV00000029,WH001,PROD00180,2026-03-10,480,115,141
INV00000030,WH001,PROD00038,2025-06-06,1537,136,150
INV00000031,WH001,PROD00415,2026-02-13,3062,19,42
INV00000032,WH001,PROD00493,2026-03-08,1810,456,182
INV00000033,WH001,PROD00216,2025-03-13,1085,254,192
INV00000034,WH001,PROD00222,2026-05-10,1033,158,90
INV00000035,WH001,PROD00490,2025-01-17,425,230,146
INV00000036,WH001,PROD00313,2026-01-05,4770,141,190
INV00000037,WH001,PROD00421,2025-08-29,4484,199,131
INV00000038,WH001,PROD00064,2026-01-31,3972,197,146
INV00000039,WH001,PROD00214,2025-10-09,4738,65,169
INV00000040,WH001,PROD00433,2026-05-30,3241,462,183
INV00000041,WH001,PROD00494,2025-05-10,3055,45,180
INV00000042,WH001,PROD00198,2025-12-20,3728,231,42
INV00000043,WH001,PROD00318,2026-02-19,2131,189,147
INV00000044,WH001,PROD00473,2025-12-26,3264,239,174
INV00000045,WH001,PROD00324,2025-08-15,3057,466,73
INV00000046,WH001,PROD00097,2025-03-16,3270,170,24
INV00000047,WH001,PROD00011,2025-03-01,803,344,154
INV00000048,WH001,PROD00005,2025-08-01,715,3,152
INV00000049,WH001,PROD00364,2025-04-05,956,276,149
INV00000050,WH001,PROD00365,2026-07-01,1064,95,187
INV00000051,WH001,PROD00471,2025-06-06,731,74,152
INV00000052,WH001,PROD00227,2026-04-11,2758,218,41
INV00000053,WH001,PROD00112,2026-06-29,1127,251,128
INV00000054,WH001,PROD00143,2026-03-13,1818,285,156
INV00000055,WH001,PROD00239,2025-06-29,4519,79,45
INV00000056,WH001,PROD00199,2025-03-02,4058,166,87
INV00000057,WH001,PROD00422,2026-04-02,4556,307,135
INV00000058,WH001,PROD00369,2026-04-15,669,479,121
INV00000059,WH001,PROD00147,2025-04-12,3925,115,175
INV00000060,WH001,PROD00054,2025-03-31,2574,499,127
INV00000061,WH001,PROD00447,2025-04-04,3439,11,132
INV00000062,WH001,PROD00130,2025-04-04,2155,227,115
INV00000063,WH001,PROD00387,2025-11-10,1423,269,54
INV00000064,WH001,PROD00469,2025-01-17,3914,292,90
INV00000065,WH001,PROD00221,2025-06-18,3494,147,107
INV00000066,WH001,PROD00024,2025-08-28,1684,378,174
INV00000067,WH001,PROD00442,2026-03-29,4075,427,172
INV00000068,WH001,PROD00076,2025-02-23,1004,317,120
INV00000069,WH001,PROD00120,2026-04-23,3327,359,16
INV00000070,WH001,PROD00458,2026-07-15,4042,218,101
INV00000071,WH001,PROD00314,2025-05-26,1877,447,127
INV00000072,WH001,PROD00495,2026-07-30,2143,152,151
INV00000073,WH001,PROD00323,2026-07-13,788,156,103
INV00000074,WH001,PROD00129,2025-04-12,1821,54,105
INV00000075,WH001,PROD00438,2025-06-24,2452,120,192
INV00000076,WH001,PROD00203,2025-07-31,1262,41,63
INV00000077,WH001,PROD00082,2026-01-02,643,433,137
INV00000078,WH001,PROD00411,2025-07-10,4049,138,181
INV00000079,WH001,PROD00406,2026-06-10,2630,9,135
INV00000080,WH001,PROD00299,2026-07-20,1232,194,110
INV00000081,WH001,PROD00109,2025-09-23,4926,481,111
INV00000082,WH001,PROD00001,2025-04-11,3480,30,58
INV00000083,WH001,PROD00142,2025-06-29,4167,454,199
INV00000084,WH001,PROD00059,2025-05-30,2772,322,135
INV00000085,WH001,PROD00179,2026-07-25,3916,480,19
INV00000086,WH001,PROD00134,2026-01-28,1358,85,96
INV00000087,WH001,PROD00302,2026-05-12,3453,157,106
INV00000088,WH001,PROD00094,2025-11-20,1332,350,176
INV00000089,WH001,PROD00296,2025-09-12,4199,471,111
INV00000090,WH001,PROD00171,2025-11-04,300,175,48
INV00000091,WH001,PROD00487,2026-06-24,3713,112,150
INV00000092,WH001,PROD00308,2025-09-26,3043,456,196
INV00000093,WH001,PROD00333,2025-01-23,241,254,119
INV00000094,WH001,PROD00251,2025-08-19,110,395,184
INV00000095,WH001,PROD00144,2026-04-17,4788,387,168
INV00000096,WH001,PROD00396,2025-04-30,856,189,189
INV00000097,WH001,PROD00472,2025-06-16,4266,286,29
INV00000098,WH001,PROD00389,2026-04-02,1165,64,54
INV00000099,WH001,PROD00037,2026-05-02,71,202,162
INV00000100,WH001,PROD00479,2025-02-11,836,263,172
INV00000101,WH001,PROD00155,2025-07-05,2113,162,109
INV00000102,WH001,PROD00474,2026-01-30,4933,28,137
INV00000103,WH001,PROD00233,2025-06-19,2654,77,69
INV00000104,WH001,PROD00453,2026-05-03,3096,207,19
INV00000105,WH001,PROD00132,2025-05-09,4273,95,81
INV00000106,WH001,PROD00336,2025-02-15,1084,186,176
INV00000107,WH001,PROD00329,2026-05-04,4554,150,43
INV00000108,WH001,PROD00241,2025-11-20,4872,413,180
INV00000109,WH001,PROD00250,2026-03-22,779,22,174
INV00000110,WH001,PROD00500,2025-08-05,1668,165,167
INV00000111,WH001,PROD00161,2025-06-08,3810,23,35
INV00000112,WH001,PROD00040,2025-09-24,3623,368,91
INV00000113,WH001,PROD00478,2025-11-23,1401,17,103
INV00000114,WH001,PROD00443,2025-02-19,2488,90,115
INV00000115,WH001,PROD00215,2026-07-18,2878,202,103
INV00000116,WH001,PROD00084,2025-05-19,3290,28,89
INV00000117,WH001,PROD00317,2026-02-16,2717,467,46
INV00000118,WH001,PROD00355,2025-06-16,4632,183,78
INV00000119,WH001,PROD00091,2026-02-02,1613,195,131
INV00000120,WH001,PROD00188,2025-11-04,1134,24,102
INV00000121,WH001,PROD00053,2026-04-27,3047,430,175
INV00000122,WH001,PROD00152,2026-02-13,3140,481,199
INV00000123,WH001,PROD00417,2025-04-08,4069,385,80
INV00000124,WH001,PROD00491,2025-09-23,3778,57,24
INV00000125,WH001,PROD00335,2026-03-25,4787,9,50
INV00000126,WH001,PROD00210,2026-01-27,251,444,71
INV00000127,WH001,PROD00445,2025-03-15,3977,334,90
INV00000128,WH001,PROD00243,2026-04-01,973,217,126
INV00000129,WH001,PROD00184,2025-11-06,4599,147,36
INV00000130,WH001,PROD00058,2025-03-31,3979,185,162
