order_id,customer_id,product_id,warehouse_id,order_date,quantity,unit_price,total_amount,order_status,payment_status
ORD00000001,CUST002247,PROD00314,WH010,2026-07-27 22:15:53,6,2361.33,14167.98,PLACED,PAID
ORD00000002,CUST003451,PROD00314,WH008,2026-05-29 14:04:10,8,2361.33,18890.64,PROCESSING,PENDING
ORD00000003,CUST003057,PROD00105,WH005,2025-09-22 11:23:37,9,1958.09,17622.81,DELIVERED,REFUNDED
ORD00000004,CUST004291,PROD00149,WH004,2025-07-06 03:48:32,3,1390.87,4172.61,CANCELLED,REFUNDED
ORD00000005,CUST009992,PROD00297,WH005,2025-02-17 02:47:16,5,2141.24,10706.2,DELIVERED,PAID
ORD00000006,CUST001167,PROD00284,WH005,2026-04-11 09:14:24,5,417.39,2086.95,DELIVERED,PENDING
ORD00000007,CUST009145,PROD00260,WH002,2025-02-19 19:52:11,3,2956.92,8870.76,DELIVERED,PAID
ORD00000008,CUST002445,PROD00311,WH002,2026-07-30 13:35:49,2,1537.48,3074.96,PLACED,REFUNDED
ORD00000009,CUST004426,PROD00410,WH008,2025-11-13 18:51:56,10,1047.68,10476.8,DELIVERED,PENDING
ORD00000010,CUST009664,PROD00327,WH004,2025-03-25 08:08:05,6,2416.25,14497.5,SHIPPED,PAID
ORD00000011,CUST003116,PROD00320,WH010,2026-07-07 03:42:23,6,1201.71,7210.26,SHIPPED,PAID
ORD00000012,CUST009447,PROD00273,WH007,2025-02-20 16:50:57,2,2124.48,4248.96,PROCESSING,PAID
ORD00000013,CUST009204,PROD00158,WH010,2026-01-04 01:34:06,1,2415.56,2415.56,DELIVERED,PAID
ORD00000014,CUST000691,PROD00246,WH010,2025-01-05 08:05:23,8,404.17,3233.36,DELIVERED,PAID
ORD00000015,CUST002552,PROD00099,WH007,2025-12-08 04:16:39,7,1669.98,11689.86,SHIPPED,PAID
ORD00000016,CUST000990,PROD00435,WH008,2026-02-07 07:08:08,4,1290.09,5160.36,DELIVERED,PAID
ORD00000017,CUST007293,PROD00065,WH001,2025-07-01 07:10:22,4,2898.43,11593.72,PROCESSING,REFUNDED
ORD00000018,CUST007271,PROD00047,WH010,2025-11-03 02:21:09,9,1163.81,10474.29,DELIVERED,PAID
ORD00000019,CUST009919,PROD00333,WH006,2025-11-24 18:59:47,9,2818.45,25366.05,SHIPPED,PAID
ORD00000020,CUST009795,PROD00088,WH006,2026-02-17 05:52:20,2,1127.99,2255.98,DELIVERED,PENDING
ORD00000021,CUST000485,PROD00333,WH009,2025-10-01 16:53:17,2,2818.45,5636.9,CANCELLED,PAID
ORD00000022,CUST006418,PROD00238,WH001,2026-03-02 23:05:44,5,1854.6,9273.0,DELIVERED,REFUNDED
ORD00000023,CUST005751,PROD00223,WH003,2025-07-30 19:25:05,9,1917.96,17261.64,DELIVERED,PAID
ORD00000024,CUST003246,PROD00126,WH002,2025-06-13 12:52:06,7,1507.56,10552.92,DELIVERED,PAID
ORD00000025,CUST004636,PROD00029,WH001,2026-04-18 08:58:59,10,862.04,8620.4,DELIVERED,PAID
ORD00000026,CUST006638,PROD00007,WH008,2026-05-07 04:20:28,4,1699.46,6797.84,DELIVERED,REFUNDED
ORD00000027,CUST008013,PROD00410,WH005,2025-06-02 00:04:27,6,1047.68,6286.08,DELIVERED,PAID
ORD00000028,CUST001303,PROD00113,WH005,2025-10-21 11:52:52,6,500.27,3001.62,DELIVERED,PAID
