product_id,product_name,category,supplier_id,unit_cost,selling_price,weight_kg,reorder_level,status
PROD00001,Refrigerator 0001,Home Appliances,SUP0007,808.23,1081.02,24.94,58,DISCONTINUED
PROD00002,Sofa 0002,Furniture,SUP0005,371.06,528.33,44.37,150,ACTIVE
PROD00003,Headphones 0003,Electronics,SUP0049,1672.88,2974.88,84.88,52,DISCONTINUED
PROD00004,Lotion 0004,Beauty,SUP0004,431.43,595.69,16.55,10,DISCONTINUED
PROD00005,Sandals 0005,Footwear,SUP0047,574.07,911.4,99.54,152,DISCONTINUED
PROD00006,Table 0006,Furniture,SUP0038,596.93,1061.4,73.6,25,ACTIVE
PROD00007,Laptop 0007,Electronics,SUP0034,1170.43,1699.46,15.83,140,ACTIVE
PROD00008,Chair 0008,Furniture,SUP0016,1192.1,1874.75,40.44,155,ACTIVE
PROD00009,Dictionary 0009,Books,SUP0043,84.28,97.54,58.41,143,ACTIVE
PROD00010,Sneakers 0010,Footwear,SUP0017,1341.1,1770.16,39.64,181,ACTIVE
PROD00011,Face Wash 0011,Beauty,SUP0001,1858.39,3261.5,45.88,154,ACTIVE
PROD00012,Oven 0012,Home Appliances,SUP0023,430.24,553.13,88.1,72,ACTIVE
PROD00013,Sneakers 0013,Footwear,SUP0020,879.18,1301.41,61.21,177,ACTIVE
PROD00014,Battery 0014,Automotive,SUP0009,1863.85,2185.38,26.52,37,ACTIVE
PROD00015,Boots 0015,Footwear,SUP0014,1211.64,1941.45,68.78,77,DISCONTINUED
PROD00016,Shoes 0016,Footwear,SUP0018,189.14,264.13,4.5,95,ACTIVE
PROD00017,Sneakers 0017,Footwear,SUP0028,1483.76,2205.13,56.13,38,ACTIVE
PROD00018,Bed 0018,Furniture,SUP0036,76.88,104.44,14.89,42,ACTIVE
PROD00019,Boots 0019,Footwear,SUP0003,1798.47,2980.58,89.9,63,ACTIVE
PROD00020,Mixer 0020,Home Appliances,SUP0027,1561.33,2683.76,97.39,49,ACTIVE
