shipment_id,order_id,warehouse_id,carrier,shipment_date,delivery_date,shipping_status,shipping_cost
SHP00000001,ORD00000001,WH010,FedEx,2026-07-28 22:15:53,,IN_TRANSIT,153.63
SHP00000002,ORD00000002,WH008,XpressBees,2026-05-31 14:04:10,2026-06-07 14:04:10,DELIVERED,1473.84
SHP00000003,ORD00000003,WH005,DTDC,2025-09-26 11:23:37,2025-10-05 11:23:37,DELIVERED,1243.39
SHP00000004,ORD00000005,WH005,DHL,2025-02-21 02:47:16,2025-03-03 02:47:16,DELIVERED,639.22
SHP00000005,ORD00000006,WH005,FedEx,2026-04-15 09:14:24,2026-04-20 09:14:24,DELIVERED,1166.38
SHP00000006,ORD00000007,WH002,FedEx,2025-02-24 19:52:11,,IN_TRANSIT,678.1
SHP00000007,ORD00000008,WH002,FedEx,2026-08-03 13:35:49,2026-08-05 13:35:49,DELIVERED,543.46
SHP00000008,ORD00000009,WH008,BlueDart,2025-11-15 18:51:56,2025-11-19 18:51:56,DELIVERED,90.18
SHP00000009,ORD00000010,WH004,DHL,2025-03-29 08:08:05,2025-04-03 08:08:05,DELAYED,1266.68
SHP00000010,ORD00000011,WH010,DTDC,2026-07-09 03:42:23,2026-07-12 03:42:23,DELIVERED,1125.21
SHP00000011,ORD00000012,WH007,FedEx,2025-02-21 16:50:57,2025-02-22 16:50:57,DELIVERED,845.19
SHP00000012,ORD00000013,WH010,XpressBees,2026-01-06 01:34:06,2026-01-14 01:34:06,DELIVERED,269.7
SHP00000013,ORD00000014,WH010,Ecom Express,2025-01-06 08:05:23,2025-01-12 08:05:23,DELIVERED,926.27
SHP00000014,ORD00000015,WH007,Ecom Express,2025-12-12 04:16:39,2025-12-16 04:16:39,DELIVERED,744.54
SHP00000015,ORD00000016,WH008,Ecom Express,2026-02-09 07:08:08,2026-02-15 07:08:08,DELIVERED,70.46
SHP00000016,ORD00000017,WH001,Ecom Express,2025-07-04 07:10:22,2025-07-11 07:10:22,DELAYED,1269.39
SHP00000017,ORD00000018,WH010,FedEx,2025-11-06 02:21:09,2025-11-12 02:21:09,DELIVERED,415.96
SHP00000018,ORD00000019,WH006,BlueDart,2025-11-27 18:59:47,2025-11-28 18:59:47,DELIVERED,1004.15
SHP00000019,ORD00000020,WH006,BlueDart,2026-02-19 05:52:20,2026-03-01 05:52:20,DELIVERED,109.18
SHP00000020,ORD00000022,WH001,Delhivery,2026-03-06 23:05:44,,IN_TRANSIT,1441.8
SHP00000021,ORD00000023,WH003,DHL,2025-08-04 19:25:05,2025-08-13 19:25:05,DELIVERED,180.94
SHP00000022,ORD00000024,WH002,DTDC,2025-06-14 12:52:06,,IN_TRANSIT,584.2
SHP00000023,ORD00000025,WH001,FedEx,2026-04-19 08:58:59,2026-04-23 08:58:59,DELIVERED,1283.9
SHP00000024,ORD00000026,WH008,Delhivery,2026-05-11 04:20:28,2026-05-18 04:20:28,DELAYED,582.38
SHP00000025,ORD00000027,WH005,XpressBees,2025-06-06 00:04:27,2025-06-11 00:04:27,DELIVERED,1178.37
SHP00000026,ORD00000028,WH005,Ecom Express,2025-10-23 11:52:52,2025-11-02 11:52:52,DELIVERED,115.23
SHP00000027,ORD00000029,WH001,FedEx,2026-02-17 09:54:18,,IN_TRANSIT,1266.77
SHP00000028,ORD00000030,WH003,Delhivery,2026-06-30 21:29:40,2026-07-03 21:29:40,DELIVERED,311.63
SHP00000029,ORD00000032,WH010,DHL,2025-08-11 16:55:14,2025-08-13 16:55:14,DELIVERED,1166.21
SHP00000030,ORD00000033,WH010,FedEx,2026-08-02 06:37:03,,IN_TRANSIT,714.84
SHP00000031,ORD00000034,WH006,XpressBees,2025-05-13 15:25:45,2025-05-22 15:25:45,DELIVERED,1267.57
SHP00000032,ORD00000035,WH003,Ecom Express,2026-07-28 09:39:19,2026-08-05 09:39:19,DELIVERED,1499.99
SHP00000033,ORD00000036,WH008,BlueDart,2026-07-21 04:05:18,,IN_TRANSIT,91.84
SHP00000034,ORD00000037,WH003,XpressBees,2026-01-02 17:32:16,,CANCELLED,779.0
SHP00000035,ORD00000038,WH004,FedEx,2025-12-24 23:10:48,2025-12-31 23:10:48,DELIVERED,544.38
SHP00000036,ORD00000039,WH002,Ecom Express,2025-06-12 12:26:26,,IN_TRANSIT,817.17
SHP00000037,ORD00000040,WH010,DTDC,2026-01-28 14:30:17,2026-02-05 14:30:17,DELIVERED,1368.58
SHP00000038,ORD00000041,WH005,DHL,2025-12-25 19:23:39,2025-12-27 19:23:39,DELIVERED,929.42
SHP00000039,ORD00000042,WH010,Ecom Express,2026-02-01 00:58:40,2026-02-06 00:58:40,DELIVERED,76.9
SHP00000040,ORD00000043,WH007,DHL,2025-08-14 14:17:02,2025-08-16 14:17:02,DELIVERED,1336.1
SHP00000041,ORD00000044,WH001,DHL,2025-06-19 12:42:59,2025-06-26 12:42:59,DELIVERED,914.3
SHP00000042,ORD00000045,WH005,Ecom Express,2026-03-14 04:00:54,,IN_TRANSIT,1057.94
SHP00000043,ORD00000046,WH005,BlueDart,2026-02-23 06:24:16,,IN_TRANSIT,485.92
SHP00000044,ORD00000047,WH007,XpressBees,2026-05-01 23:12:20,2026-05-03 23:12:20,DELIVERED,980.09
SHP00000045,ORD00000048,WH008,DHL,2025-05-14 15:32:27,,IN_TRANSIT,940.76
SHP00000046,ORD00000049,WH005,FedEx,2025-05-24 00:59:00,2025-05-29 00:59:00,DELIVERED,1441.94
SHP00000047,ORD00000050,WH009,BlueDart,2025-04-30 17:24:30,,CANCELLED,486.26
SHP00000048,ORD00000051,WH005,DHL,2026-06-09 18:39:34,2026-06-12 18:39:34,DELIVERED,1360.81
SHP00000049,ORD00000052,WH010,DTDC,2026-05-13 13:39:24,2026-05-14 13:39:24,DELIVERED,855.76
SHP00000050,ORD00000053,WH001,DTDC,2025-09-27 01:18:45,2025-10-02 01:18:45,DELIVERED,1233.43
SHP00000051,ORD00000054,WH010,DHL,2025-07-03 23:19:31,2025-07-13 23:19:31,DELIVERED,1344.44
SHP00000052,ORD00000055,WH004,BlueDart,2025-12-27 09:26:38,,IN_TRANSIT,1341.46
SHP00000053,ORD00000056,WH004,DTDC,2025-05-03 08:00:29,,CANCELLED,1237.92
SHP00000054,ORD00000058,WH003,FedEx,2026-05-14 15:26:31,2026-05-20 15:26:31,DELIVERED,135.77
SHP00000055,ORD00000059,WH004,BlueDart,2026-06-20 17:49:11,2026-06-23 17:49:11,DELAYED,158.63
SHP00000056,ORD00000060,WH005,DHL,2025-10-03 16:49:09,2025-10-07 16:49:09,DELIVERED,446.11
SHP00000057,ORD00000061,WH001,DTDC,2026-02-12 12:14:24,2026-02-15 12:14:24,DELIVERED,916.02
SHP00000058,ORD00000062,WH004,DHL,2025-04-02 21:58:27,,IN_TRANSIT,1406.74
SHP00000059,ORD00000063,WH007,DHL,2025-08-18 08:42:25,2025-08-19 08:42:25,DELIVERED,1205.46
SHP00000060,ORD00000064,WH001,BlueDart,2025-08-04 07:16:19,2025-08-05 07:16:19,DELIVERED,723.07
SHP00000061,ORD00000065,WH006,Ecom Express,2026-02-04 19:40:06,2026-02-12 19:40:06,DELIVERED,850.0
SHP00000062,ORD00000066,WH005,DTDC,2025-12-19 09:07:51,2025-12-21 09:07:51,DELIVERED,311.09
SHP00000063,ORD00000067,WH002,FedEx,2026-04-10 00:03:50,2026-04-13 00:03:50,DELIVERED,79.79
SHP00000064,ORD00000068,WH002,Delhivery,2025-06-22 07:21:18,2025-06-28 07:21:18,DELIVERED,941.77
SHP00000065,ORD00000069,WH009,BlueDart,2026-07-03 16:11:03,2026-07-06 16:11:03,DELIVERED,1480.77
SHP00000066,ORD00000070,WH010,Ecom Express,2025-09-12 19:06:13,2025-09-14 19:06:13,DELIVERED,987.08
SHP00000067,ORD00000071,WH010,FedEx,2025-04-03 05:38:33,2025-04-09 05:38:33,DELIVERED,972.78
SHP00000068,ORD00000072,WH003,XpressBees,2026-06-03 02:37:41,2026-06-13 02:37:41,DELIVERED,1119.54
SHP00000069,ORD00000074,WH008,XpressBees,2026-02-08 07:16:54,2026-02-14 07:16:54,DELIVERED,581.01
SHP00000070,ORD00000075,WH003,DTDC,2025-02-05 00:13:22,2025-02-15 00:13:22,DELIVERED,870.63
SHP00000071,ORD00000076,WH010,Ecom Express,2025-09-08 00:22:45,2025-09-13 00:22:45,DELIVERED,245.37
SHP00000072,ORD00000077,WH004,XpressBees,2025-03-20 01:33:06,2025-03-25 01:33:06,DELIVERED,130.73
SHP00000073,ORD00000078,WH006,FedEx,2025-05-22 01:40:06,,IN_TRANSIT,700.88
SHP00000074,ORD00000079,WH009,DTDC,2025-04-09 19:30:39,2025-04-10 19:30:39,DELIVERED,1047.07
SHP00000075,ORD00000080,WH001,XpressBees,2025-08-21 02:27:03,2025-08-28 02:27:03,DELIVERED,1419.47
SHP00000076,ORD00000081,WH006,DTDC,2026-03-29 08:30:20,,IN_TRANSIT,361.1
SHP00000077,ORD00000082,WH005,FedEx,2026-05-09 08:57:46,2026-05-18 08:57:46,DELIVERED,1283.89
SHP00000078,ORD00000083,WH003,Delhivery,2025-11-27 09:51:00,2025-11-29 09:51:00,DELIVERED,1291.43
SHP00000079,ORD00000084,WH001,Delhivery,2025-06-19 07:02:00,,IN_TRANSIT,579.64
SHP00000080,ORD00000085,WH001,DHL,2025-12-07 19:39:39,,IN_TRANSIT,723.95
SHP00000081,ORD00000086,WH010,DHL,2026-06-19 07:32:30,2026-06-21 07:32:30,DELIVERED,246.72
SHP00000082,ORD00000087,WH004,DTDC,2026-07-29 17:43:16,2026-08-01 17:43:16,DELIVERED,1051.15
SHP00000083,ORD00000088,WH003,DTDC,2025-01-13 21:04:41,2025-01-23 21:04:41,DELIVERED,1257.72
SHP00000084,ORD00000089,WH008,XpressBees,2025-12-12 21:29:30,,IN_TRANSIT,775.73
SHP00000085,ORD00000090,WH006,DHL,2026-07-19 12:49:55,2026-07-29 12:49:55,DELAYED,1485.59
SHP00000086,ORD00000091,WH009,Ecom Express,2025-07-01 07:40:08,2025-07-09 07:40:08,DELIVERED,266.49
SHP00000087,ORD00000092,WH009,DTDC,2025-09-07 03:57:29,2025-09-09 03:57:29,DELIVERED,196.35
SHP00000088,ORD00000093,WH008,XpressBees,2026-04-28 01:45:30,2026-04-29 01:45:30,DELIVERED,1235.93
SHP00000089,ORD00000094,WH004,FedEx,2026-06-24 05:05:03,,IN_TRANSIT,1193.73
SHP00000090,ORD00000095,WH008,DHL,2026-02-16 18:46:25,2026-02-22 18:46:25,DELIVERED,381.19
SHP00000091,ORD00000096,WH007,Ecom Express,2025-07-16 14:08:27,,CANCELLED,1463.11
SHP00000092,ORD00000097,WH010,BlueDart,2025-12-05 21:13:56,,IN_TRANSIT,1272.92
SHP00000093,ORD00000098,WH002,DTDC,2025-08-16 20:04:46,2025-08-25 20:04:46,DELAYED,516.2
SHP00000094,ORD00000099,WH010,XpressBees,2025-07-25 05:35:07,2025-08-03 05:35:07,DELIVERED,448.34
SHP00000095,ORD00000100,WH004,Delhivery,2025-06-28 09:59:58,2025-07-06 09:59:58,DELIVERED,317.4
SHP00000096,ORD00000101,WH010,DHL,2025-02-13 02:56:26,,IN_TRANSIT,1094.21
SHP00000097,ORD00000102,WH001,DHL,2025-10-24 19:54:04,,IN_TRANSIT,882.39
SHP00000098,ORD00000103,WH010,Ecom Express,2026-03-18 00:45:03,,CANCELLED,1023.28
SHP00000099,ORD00000104,WH008,FedEx,2026-03-10 22:23:24,2026-03-13 22:23:24,DELIVERED,519.26
SHP00000100,ORD00000105,WH003,Delhivery,2025-05-13 01:50:18,2025-05-20 01:50:18,DELAYED,875.44
SHP00000101,ORD00000106,WH006,BlueDart,2025-09-29 22:12:43,2025-10-04 22:12:43,DELAYED,413.68
SHP00000102,ORD00000107,WH005,Ecom Express,2026-02-04 01:17:44,2026-02-13 01:17:44,DELIVERED,584.02
SHP00000103,ORD00000108,WH001,Delhivery,2026-05-01 05:18:23,2026-05-04 05:18:23,DELIVERED,230.13
SHP00000104,ORD00000109,WH005,FedEx,2025-07-17 16:35:38,2025-07-19 16:35:38,DELIVERED,133.0
SHP00000105,ORD00000110,WH010,DHL,2025-07-24 19:24:59,,IN_TRANSIT,382.09
SHP00000106,ORD00000111,WH005,XpressBees,2025-11-16 09:42:58,2025-11-26 09:42:58,DELIVERED,1488.35
SHP00000107,ORD00000112,WH010,FedEx,2025-11-08 16:31:13,2025-11-10 16:31:13,DELIVERED,147.55
SHP00000108,ORD00000113,WH001,XpressBees,2025-07-23 00:08:26,2025-07-27 00:08:26,DELIVERED,829.84
SHP00000109,ORD00000114,WH002,BlueDart,2025-12-25 00:59:41,2025-12-30 00:59:41,DELIVERED,394.17
SHP00000110,ORD00000115,WH008,BlueDart,2025-11-15 16:55:37,2025-11-24 16:55:37,DELIVERED,52.91
SHP00000111,ORD00000116,WH001,FedEx,2025-11-25 02:36:19,2025-11-28 02:36:19,DELIVERED,825.69
SHP00000112,ORD00000117,WH005,DTDC,2025-06-09 07:16:36,2025-06-10 07:16:36,DELIVERED,1386.9
SHP00000113,ORD00000118,WH010,Delhivery,2025-10-18 04:35:26,2025-10-21 04:35:26,DELIVERED,1276.3
SHP00000114,ORD00000119,WH006,DTDC,2025-02-13 02:53:44,2025-02-23 02:53:44,DELIVERED,607.1
SHP00000115,ORD00000120,WH001,Ecom Express,2025-05-28 06:28:39,2025-05-30 06:28:39,DELIVERED,756.5
SHP00000116,ORD00000122,WH010,DHL,2026-03-16 02:24:42,2026-03-22 02:24:42,DELIVERED,552.54
SHP00000117,ORD00000123,WH010,BlueDart,2026-02-16 11:11:44,,IN_TRANSIT,274.0
SHP00000118,ORD00000124,WH009,XpressBees,2026-05-15 12:31:47,,IN_TRANSIT,58.0
SHP00000119,ORD00000125,WH001,DTDC,2026-01-22 16:48:45,2026-01-31 16:48:45,DELIVERED,136.01
SHP00000120,ORD00000126,WH002,XpressBees,2025-06-10 01:40:18,,IN_TRANSIT,154.13
SHP00000121,ORD00000127,WH003,DHL,2025-04-23 07:31:51,2025-04-27 07:31:51,DELIVERED,1305.09
SHP00000122,ORD00000128,WH004,DHL,2025-11-26 04:00:12,2025-12-04 04:00:12,DELIVERED,968.91
SHP00000123,ORD00000129,WH002,DHL,2026-06-28 23:47:44,2026-07-06 23:47:44,DELIVERED,307.2
SHP00000124,ORD00000130,WH003,DTDC,2026-06-04 09:56:47,2026-06-13 09:56:47,DELAYED,503.56
SHP00000125,ORD00000131,WH009,Delhivery,2025-06-05 13:14:21,,IN_TRANSIT,1159.31
SHP00000126,ORD00000132,WH004,FedEx,2025-10-02 22:29:26,,IN_TRANSIT,1207.79
SHP00000127,ORD00000133,WH006,Ecom Express,2026-05-17 08:06:53,,CANCELLED,206.28
SHP00000128,ORD00000134,WH005,DTDC,2026-01-16 12:38:40,,CANCELLED,1035.5
SHP00000129,ORD00000135,WH010,Delhivery,2025-05-28 00:48:05,,IN_TRANSIT,1400.49
SHP00000130,ORD00000136,WH004,BlueDart,2026-02-20 19:00:46,,CANCELLED,588.37
SHP00000131,ORD00000137,WH005,Delhivery,2025-10-08 19:53:00,2025-10-13 19:53:00,DELIVERED,716.01
SHP00000132,ORD00000139,WH009,Ecom Express,2025-10-11 05:43:18,2025-10-15 05:43:18,DELIVERED,932.96
SHP00000133,ORD00000140,WH003,Ecom Express,2026-02-24 11:07:23,2026-02-27 11:07:23,DELIVERED,626.61
SHP00000134,ORD00000141,WH009,DTDC,2025-12-08 21:51:47,2025-12-11 21:51:47,DELIVERED,1420.84
SHP00000135,ORD00000142,WH003,BlueDart,2026-01-26 05:53:58,2026-02-02 05:53:58,DELIVERED,735.52
SHP00000136,ORD00000143,WH007,Ecom Express,2025-12-01 20:44:25,,CANCELLED,1441.26
SHP00000137,ORD00000144,WH003,DTDC,2025-09-20 18:48:45,2025-09-21 18:48:45,DELIVERED,1381.05
SHP00000138,ORD00000145,WH002,FedEx,2026-07-04 20:09:49,2026-07-13 20:09:49,DELIVERED,860.49
SHP00000139,ORD00000147,WH009,FedEx,2025-08-21 16:26:51,2025-08-25 16:26:51,DELIVERED,1055.35
SHP00000140,ORD00000148,WH007,BlueDart,2026-04-24 18:20:07,2026-05-02 18:20:07,DELIVERED,1045.61
SHP00000141,ORD00000149,WH006,FedEx,2026-05-18 09:25:09,2026-05-19 09:25:09,DELIVERED,518.82
SHP00000142,ORD00000150,WH001,DHL,2025-01-26 14:52:17,2025-02-03 14:52:17,DELIVERED,1322.23
SHP00000143,ORD00000151,WH001,DTDC,2026-03-10 11:25:42,2026-03-14 11:25:42,DELIVERED,920.96
SHP00000144,ORD00000154,WH003,XpressBees,2026-07-11 20:39:14,2026-07-16 20:39:14,DELAYED,689.69
SHP00000145,ORD00000155,WH008,FedEx,2025-01-30 08:29:48,2025-02-08 08:29:48,DELIVERED,153.55
SHP00000146,ORD00000156,WH003,XpressBees,2025-11-30 19:36:13,2025-12-06 19:36:13,DELIVERED,733.51
SHP00000147,ORD00000157,WH007,FedEx,2025-06-16 18:36:01,2025-06-25 18:36:01,DELIVERED,102.04
SHP00000148,ORD00000158,WH006,FedEx,2026-04-21 12:53:22,2026-04-24 12:53:22,DELAYED,522.89
SHP00000149,ORD00000159,WH005,XpressBees,2026-08-04 21:50:37,2026-08-10 21:50:37,DELIVERED,129.63
SHP00000150,ORD00000160,WH002,Delhivery,2026-04-15 00:02:52,,IN_TRANSIT,154.74
SHP00000151,ORD00000161,WH009,Delhivery,2025-06-19 10:43:49,,IN_TRANSIT,768.65
SHP00000152,ORD00000162,WH001,Ecom Express,2025-08-12 04:38:14,2025-08-21 04:38:14,DELIVERED,859.76
SHP00000153,ORD00000163,WH005,DHL,2025-01-26 18:15:21,,IN_TRANSIT,377.97
SHP00000154,ORD00000164,WH007,DHL,2026-06-03 18:26:19,2026-06-12 18:26:19,DELIVERED,502.55
SHP00000155,ORD00000165,WH002,DTDC,2026-03-19 09:52:22,2026-03-22 09:52:22,DELIVERED,1397.52
SHP00000156,ORD00000166,WH008,Delhivery,2025-09-14 08:07:58,2025-09-24 08:07:58,DELAYED,66.47
SHP00000157,ORD00000167,WH001,DHL,2025-04-21 04:24:16,2025-04-25 04:24:16,DELIVERED,792.38
SHP00000158,ORD00000168,WH008,Ecom Express,2026-03-17 21:05:17,,IN_TRANSIT,1251.84
SHP00000159,ORD00000169,WH002,DHL,2025-10-20 20:24:04,,CANCELLED,1436.55
SHP00000160,ORD00000170,WH002,Delhivery,2026-01-07 20:14:36,2026-01-14 20:14:36,DELIVERED,371.41
SHP00000161,ORD00000171,WH008,BlueDart,2025-09-05 09:40:20,2025-09-15 09:40:20,DELIVERED,143.01
SHP00000162,ORD00000172,WH003,DHL,2026-04-26 23:00:35,2026-04-28 23:00:35,DELIVERED,357.6
SHP00000163,ORD00000173,WH004,DTDC,2026-03-27 22:26:35,2026-04-01 22:26:35,DELIVERED,400.11
SHP00000164,ORD00000174,WH008,XpressBees,2025-12-01 11:52:12,2025-12-05 11:52:12,DELIVERED,1372.73
SHP00000165,ORD00000175,WH010,Delhivery,2025-03-24 22:07:34,2025-03-31 22:07:34,DELIVERED,82.9
SHP00000166,ORD00000176,WH009,XpressBees,2026-06-13 01:56:18,2026-06-20 01:56:18,DELIVERED,1453.98
SHP00000167,ORD00000177,WH008,Delhivery,2025-01-25 02:17:27,2025-01-26 02:17:27,DELIVERED,511.58
SHP00000168,ORD00000178,WH001,FedEx,2025-12-28 19:41:47,,IN_TRANSIT,728.25
SHP00000169,ORD00000180,WH001,XpressBees,2025-03-08 23:48:20,2025-03-12 23:48:20,DELIVERED,554.24
SHP00000170,ORD00000181,WH002,Delhivery,2025-06-27 11:20:13,2025-07-05 11:20:13,DELIVERED,418.26
SHP00000171,ORD00000182,WH006,XpressBees,2025-01-22 17:17:19,2025-01-27 17:17:19,DELIVERED,823.08
SHP00000172,ORD00000183,WH002,Ecom Express,2025-05-27 13:52:18,2025-06-04 13:52:18,DELIVERED,365.96
SHP00000173,ORD00000184,WH006,FedEx,2025-01-11 08:15:02,2025-01-20 08:15:02,DELIVERED,1255.95
SHP00000174,ORD00000185,WH003,BlueDart,2025-07-21 05:49:32,,IN_TRANSIT,631.19
SHP00000175,ORD00000186,WH004,FedEx,2025-04-13 07:18:08,2025-04-18 07:18:08,DELIVERED,1400.51
SHP00000176,ORD00000187,WH007,Ecom Express,2025-09-29 11:37:14,,IN_TRANSIT,1486.81
SHP00000177,ORD00000188,WH004,Ecom Express,2026-01-26 23:04:45,2026-01-30 23:04:45,DELIVERED,69.58
SHP00000178,ORD00000189,WH004,Ecom Express,2025-04-07 02:11:58,2025-04-10 02:11:58,DELIVERED,885.41
SHP00000179,ORD00000190,WH008,Delhivery,2025-02-24 13:01:30,2025-03-01 13:01:30,DELIVERED,287.8
SHP00000180,ORD00000191,WH005,XpressBees,2025-03-01 22:36:35,2025-03-05 22:36:35,DELIVERED,328.7
SHP00000181,ORD00000192,WH010,DTDC,2025-07-14 10:29:18,2025-07-21 10:29:18,DELIVERED,975.15
SHP00000182,ORD00000193,WH006,Ecom Express,2026-01-29 01:05:35,2026-01-31 01:05:35,DELIVERED,423.99
SHP00000183,ORD00000194,WH005,XpressBees,2025-03-09 21:59:26,2025-03-17 21:59:26,DELIVERED,796.25
SHP00000184,ORD00000195,WH001,Delhivery,2025-08-12 09:41:13,2025-08-16 09:41:13,DELIVERED,781.85
SHP00000185,ORD00000196,WH008,BlueDart,2025-04-13 02:58:41,2025-04-16 02:58:41,DELIVERED,1107.38
SHP00000186,ORD00000197,WH010,XpressBees,2026-05-15 20:36:13,2026-05-20 20:36:13,DELIVERED,440.41
SHP00000187,ORD00000198,WH001,XpressBees,2026-08-03 17:22:44,2026-08-04 17:22:44,DELIVERED,375.64
