supplier_id,supplier_name,country,rating,lead_time_days,contact_email,status
SUP0001,Supplier Corporation 001,USA,2.56,10,supplier001@example.com,ACTIVE
SUP0002,Supplier Corporation 002,UK,2.85,5,supplier002@example.com,ACTIVE
SUP0003,Supplier Corporation 003,Singapore,2.58,4,supplier003@example.com,ACTIVE
SUP0004,Supplier Corporation 004,UK,3.76,2,supplier004@example.com,ACTIVE
SUP0005,Supplier Corporation 005,Singapore,3.05,20,supplier005@example.com,ACTIVE
SUP0006,Supplier Corporation 006,India,4.4,7,supplier006@example.com,INACTIVE
SUP0007,Supplier Corporation 007,Australia,3.19,8,supplier007@example.com,ACTIVE
SUP0008,Supplier Corporation 008,USA,2.73,5,supplier008@example.com,ACTIVE
SUP0009,Supplier Corporation 009,Australia,4.01,27,supplier009@example.com,ACTIVE
SUP0010,Supplier Corporation 010,UAE,3.84,14,supplier010@example.com,ACTIVE
SUP0011,Supplier Corporation 011,Canada,4.57,21,supplier011@example.com,ACTIVE
SUP0012,Supplier Corporation 012,UK,4.26,3,supplier012@example.com,ACTIVE
SUP0013,Supplier Corporation 013,Canada,4.96,29,supplier013@example.com,ACTIVE
SUP0014,Supplier Corporation 014,USA,3.45,16,supplier014@example.com,ACTIVE
SUP0015,Supplier Corporation 015,Germany,3.43,8,supplier015@example.com,ACTIVE
SUP0016,Supplier Corporation 016,USA,4.02,7,supplier016@example.com,ACTIVE
SUP0017,Supplier Corporation 017,Germany,3.66,10,supplier017@example.com,ACTIVE
SUP0018,Supplier Corporation 018,Australia,4.61,26,supplier018@example.com,ACTIVE
SUP0019,Supplier Corporation 019,UK,4.55,27,supplier019@example.com,ACTIVE
SUP0020,Supplier Corporation 020,Singapore,3.17,8,supplier020@example.com,ACTIVE
SUP0021,Supplier Corporation 021,UK,4.14,14,supplier021@example.com,INACTIVE
SUP0022,Supplier Corporation 022,Germany,3.16,9,supplier022@example.com,ACTIVE
SUP0023,Supplier Corporation 023,Singapore,4.74,14,supplier023@example.com,ACTIVE
SUP0024,Supplier Corporation 024,UK,4.99,6,supplier024@example.com,INACTIVE
SUP0025,Supplier Corporation 025,USA,4.39,29,supplier025@example.com,ACTIVE
SUP0026,Supplier Corporation 026,Germany,4.07,27,supplier026@example.com,INACTIVE
SUP0027,Supplier Corporation 027,USA,3.46,21,supplier027@example.com,INACTIVE
SUP0028,Supplier Corporation 028,Canada,4.93,29,supplier028@example.com,ACTIVE
SUP0029,Supplier Corporation 029,USA,4.2,19,supplier029@example.com,ACTIVE
SUP0030,Supplier Corporation 030,Australia,2.78,15,supplier030@example.com,ACTIVE
SUP0031,Supplier Corporation 031,UAE,2.51,25,supplier031@example.com,ACTIVE
SUP0032,Supplier Corporation 032,Germany,3.77,5,supplier032@example.com,ACTIVE
SUP0033,Supplier Corporation 033,UK,2.88,26,supplier033@example.com,ACTIVE
SUP0034,Supplier Corporation 034,India,4.0,17,supplier034@example.com,ACTIVE
SUP0035,Supplier Corporation 035,USA,4.82,30,supplier035@example.com,ACTIVE
SUP0036,Supplier Corporation 036,UK,2.64,30,supplier036@example.com,ACTIVE
SUP0037,Supplier Corporation 037,USA,4.33,28,supplier037@example.com,ACTIVE
SUP0038,Supplier Corporation 038,Germany,2.82,17,supplier038@example.com,ACTIVE
SUP0039,Supplier Corporation 039,Canada,3.82,21,supplier039@example.com,INACTIVE
SUP0040,Supplier Corporation 040,UK,4.82,26,supplier040@example.com,ACTIVE
SUP0041,Supplier Corporation 041,Canada,3.5,23,supplier041@example.com,ACTIVE
SUP0042,Supplier Corporation 042,UAE,4.75,16,supplier042@example.com,ACTIVE
SUP0043,Supplier Corporation 043,UK,3.06,12,supplier043@example.com,ACTIVE
SUP0044,Supplier Corporation 044,UK,3.97,2,supplier044@example.com,ACTIVE
SUP0045,Supplier Corporation 045,India,3.07,30,supplier045@example.com,ACTIVE
SUP0046,Supplier Corporation 046,Australia,2.68,9,supplier046@example.com,ACTIVE
SUP0047,Supplier Corporation 047,UAE,3.04,6,supplier047@example.com,INACTIVE
SUP0048,Supplier Corporation 048,UK,4.46,27,supplier048@example.com,INACTIVE
SUP0049,Supplier Corporation 049,UK,2.74,23,supplier049@example.com,INACTIVE
SUP0050,Supplier Corporation 050,Australia,3.56,16,supplier050@example.com,ACTIVE
